ID_CURSO,CURSO,ID_CENTRO
13394,CIÊNCIAS ECONÔMICAS,5
13395,ADMINISTRAÇÃO,5
13396,BIBLIOTECONOMIA,5
13397,CIÊNCIAS CONTÁBEIS,5
13398,DIREITO,8
13399,CIÊNCIAS BIOLÓGICAS,1
13400,FÍSICA,1
13401,CIÊNCIA DA COMPUTAÇÃO,11
13402,MATEMÁTICA,1
13404,QUÍMICA,1
13406,GEOGRAFIA,1
13409,FILOSOFIA,2
13413,PSICOLOGIA,2
13415,HISTÓRIA,2
13417,SERVIÇO SOCIAL,2
13418,PEDAGOGIA,6
13421,FARMÁCIA,4
13422,FISIOTERAPIA,4
13423,EDUCAÇÃO FÍSICA,4
13424,MEDICINA,10
13425,NUTRIÇÃO,4
13426,ODONTOLOGIA,4
13427,ARQUITETURA E URBANIS,7
13428,ENGENHARIA DE ALIMENT,7
13429,ENGENHARIA CIVIL,7
13430,ENGENHARIA MECÂNICA,7
13431,QUÍMICA INDUSTRIAL,7
13459,CIÊNCIAS SOCIAIS,2
19562,TURISMO,3
19563,ENGENHARIA DE PRODUÇÃ,7
26564,MÚSICA,3
43454,ESTATÍSTICA,1
44258,ENFERMAGEM,4
97039,MÚSICA,3
100220,HOTELARIA,3
107438,ARTES VISUAIS,3
107440,ARTES VISUAIS,3
107456,TEATRO,3
107548,LETRAS - LÍNGUA PORTU,2
107549,LETRAS - INGLÊS,2
107552,LETRAS - FRANCÊS,2
107553,LETRAS - ESPANHOL,2
109948,MATEMÁTICA,1
109950,PEDAGOGIA,6
109954,LETRAS - LÍNGUA PORTU,2
113604,ENGENHARIA QUÍMICA,7
113609,ENGENHARIA ELÉTRICA,12
113615,ENGENHARIA AMBIENTAL,7
113617,ENGENHARIA DE MATERIA,7
113621,ARQUIVOLOGIA,5
116826,CIÊNCIAS DAS RELIGIÕE,6
116830,LETRAS - LETRAS CLáSS,2
122288,EDUCAÇÃO FÍSICA,4
122918,FONOAUDIOLOGIA,4
122924,PEDAGOGIA - EDUCAçãO,6
122926,PSICOPEDAGOGIA,6
122928,LÍNGUAS ESTRANGEIRAS,2
122930,TRADUÇÃO,2
122934,ENGENHARIA DE PRODUÇÃ,7
313399,CIÊNCIAS BIOLÓGICAS,1
313400,FÍSICA,1
313402,MATEMÁTICA,1
313404,QUÍMICA,1
313406,GEOGRAFIA,1
313409,FILOSOFIA,2
407456,TEATRO,3
1110230,CIÊNCIAS SOCIAIS,2
1123330,TERAPIA OCUPACIONAL,4
1125641,COMUNICAÇÃO EM MÍDIAS,2
1126690,LETRAS - LÍNGUA PORTU,2
1126958,RELAÇÕES INTERNACIONA,5
1127039,CIÊNCIAS ATUARIAIS,5
1127164,ENGENHARIA DE COMPUTA,11
1127165,PRODUÇÃO SUCROALCOOLE,13
1127907,ALIMENTOS,13
1162837,MATEMÁTICA COMPUTACIO,11
1162838,CIÊNCIAS DAS RELIGIÕE,6
1166771,CINEMA E AUDIOVISUAL,3
1189062,BIOTECNOLOGIA,9
1189063,ENGENHARIA DE ENERGIA,12
1191007,DANÇA,3
1203263,ADMINISTRAÇÃO PÚBLICA,5
1203266,COMPUTAÇÃO,11
1261910,LETRAS - INGLÊS,2
1261913,LETRAS - ESPANHOL,2
1268219,JORNALISMO,3
1268221,RADIALISMO,3
1268257,RELAÇÕES PÚBLICAS,3
1363988,GESTÃO PÚBLICA,5
1399139,BIOMEDICINA,4
1503759,CIÊNCIA DE DADOS E IN,11
1564470,CIÊNCIA DE DADOS PARA,5
5001240,GASTRONOMIA,13
